type,time,longitude,latitude,altitude (ft)
,12/1/15 23:01,-86.80021957,36.1472254,123
,12/1/15 23:01,-86.80017297,36.1471962,124
,12/1/15 23:01,-86.80016328,36.147201,125
,12/1/15 23:04,-86.79973854,36.1468938,114
,12/1/15 23:04,-86.79976329,36.1464796,124
,12/1/15 23:04,-86.7998028,36.1461873,125
,12/1/15 23:04,-86.79976256,36.1460804,129
,12/1/15 23:04,-86.79964473,36.1460174,126
,12/1/15 23:04,-86.79965398,36.1457037,128
,12/1/15 23:04,-86.79973209,36.1452204,128
,12/1/15 23:04,-86.79979791,36.144852,129
,12/1/15 23:05,-86.79983173,36.1446131,128
,12/1/15 23:05,-86.7998568,36.1444586,130
,12/1/15 23:05,-86.79991818,36.1442257,130
,12/1/15 23:05,-86.80001672,36.1437924,132
,12/1/15 23:05,-86.80014248,36.1431363,132
,12/1/15 23:05,-86.800305,36.1423873,130
,12/1/15 23:05,-86.80039284,36.1419271,131
,12/1/15 23:05,-86.8004838,36.1413373,133
,12/1/15 23:05,-86.8005063,36.1412301,133
,12/1/15 23:05,-86.8005769,36.1409461,137
,12/1/15 23:05,-86.80058636,36.1407594,138
,12/1/15 23:05,-86.80060915,36.1403923,139
,12/1/15 23:06,-86.8006305,36.140249,142
,12/1/15 23:06,-86.80063007,36.1400412,139
,12/1/15 23:06,-86.80061815,36.1396849,142
,12/1/15 23:06,-86.80063942,36.1394157,143
,12/1/15 23:06,-86.80062867,36.1393933,145
,12/1/15 23:06,-86.8006386,36.1392644,148
,12/1/15 23:06,-86.80064943,36.139119,148
,12/1/15 23:06,-86.80068455,36.1387835,146
,12/1/15 23:06,-86.80072403,36.1385028,145
,12/1/15 23:06,-86.80075277,36.138281,143
,12/1/15 23:06,-86.80078304,36.1380186,141
,12/1/15 23:07,-86.80079048,36.1379871,142
,12/1/15 23:08,-86.80077848,36.1379692,141
,12/1/15 23:08,-86.80080574,36.1378012,142
,12/1/15 23:08,-86.80083462,36.137671,142
,12/1/15 23:08,-86.80084531,36.1375457,141
,12/1/15 23:08,-86.80083223,36.137471,142
,12/1/15 23:08,-86.80089791,36.1372175,145
,12/1/15 23:08,-86.80093131,36.136912,145
,12/1/15 23:08,-86.80095132,36.1366438,142
,12/1/15 23:09,-86.8009532,36.1365765,144
,12/1/15 23:09,-86.80102157,36.1360958,145
,12/1/15 23:09,-86.80103921,36.1360133,145
,12/1/15 23:09,-86.8011711,36.1352149,147
,12/1/15 23:09,-86.80121856,36.1347324,148
,12/1/15 23:09,-86.80124597,36.1344421,148
,12/1/15 23:09,-86.80157971,36.1342277,150
,12/1/15 23:09,-86.80198157,36.1342627,148
,12/1/15 23:09,-86.80269769,36.1343259,149
,12/1/15 23:09,-86.80338212,36.1343908,151
,12/1/15 23:09,-86.80404958,36.1344501,151
,12/1/15 23:09,-86.80468521,36.13452,149
,12/1/15 23:10,-86.80519373,36.1345825,148
,12/1/15 23:10,-86.8053883,36.1345974,148
,12/1/15 23:10,-86.8055454,36.1345252,149
,12/1/15 23:10,-86.80561286,36.1341492,150
,12/1/15 23:10,-86.80567985,36.1336882,152
,12/1/15 23:10,-86.80577152,36.1334235,151
,12/1/15 23:10,-86.80608197,36.1334295,152
,12/1/15 23:10,-86.80664703,36.1334764,155
,12/1/15 23:10,-86.80687605,36.1334942,157
,12/1/15 23:10,-86.80705473,36.1332741,159
,12/1/15 23:10,-86.80711637,36.1328594,159
,12/1/15 23:10,-86.80716091,36.1326016,159
,12/1/15 23:11,-86.80720588,36.1323175,158
,12/1/15 23:11,-86.80735985,36.1322005,157
,12/1/15 23:11,-86.80770339,36.132208,157
,12/1/15 23:11,-86.80811432,36.1322207,157
,12/1/15 23:11,-86.80824466,36.132217,157
,12/1/15 23:11,-86.8084254,36.1322337,159
,12/1/15 23:11,-86.80872811,36.1322767,159
,12/1/15 23:11,-86.80913721,36.1323075,160
,12/1/15 23:11,-86.80942812,36.1323376,161
,12/1/15 23:11,-86.80947774,36.1323073,162
,12/1/15 23:11,-86.80947417,36.1322624,161
,12/1/15 23:12,-86.80941308,36.132264,158
,12/1/15 23:12,-86.80941265,36.132232,157
,12/1/15 23:12,-86.80941677,36.1322202,159
,12/1/15 23:14,-86.80939897,36.1321915,159
,12/1/15 23:14,-86.80938139,36.1321766,159
,12/1/15 23:14,-86.80935265,36.1321272,159
,12/1/15 23:15,-86.80934494,36.1321369,159
,12/1/15 23:15,-86.80931279,36.1321137,159
,12/1/15 23:15,-86.80932254,36.1321099,159
,12/1/15 23:15,-86.80933473,36.1321163,161
,12/1/15 23:15,-86.80934088,36.1321367,161
,12/1/15 23:15,-86.80932458,36.132157,161
,12/1/15 23:15,-86.80930639,36.1321623,162
,12/1/15 23:15,-86.80934526,36.1320936,163
,12/1/15 23:15,-86.80933806,36.1320701,164
,12/1/15 23:15,-86.8093557,36.1320513,164
,12/1/15 23:15,-86.80940562,36.1320354,158
,12/1/15 23:15,-86.80945713,36.1320209,158
,12/1/15 23:16,-86.80945126,36.1319679,162
,12/1/15 23:16,-86.80944891,36.131883,162
,12/1/15 23:16,-86.80944907,36.1319041,161
,12/1/15 23:19,-86.80946197,36.131907,160
,12/1/15 23:20,-86.80948374,36.1318776,160
,12/1/15 23:20,-86.80950234,36.1318328,156
,12/1/15 23:20,-86.80950237,36.1318449,158
,12/1/15 23:20,-86.80950807,36.1318367,159
,12/1/15 23:20,-86.80951081,36.1318717,158
,12/1/15 23:21,-86.80947113,36.1318967,155
,12/1/15 23:22,-86.80946432,36.1318927,155
,12/1/15 23:24,-86.80946175,36.1319351,158
,12/1/15 23:24,-86.80947688,36.1319915,160
,12/1/15 23:24,-86.80948845,36.1320495,166
,12/1/15 23:24,-86.80948752,36.1320384,165
,12/1/15 23:24,-86.80946444,36.1320445,163
,12/2/15 12:43,-86.80936928,36.1322112,160
,12/2/15 12:45,-86.80935652,36.1322169,160
,12/2/15 12:48,-86.80934522,36.132216,160
,12/2/15 13:01,-86.80934139,36.1322094,160
,12/2/15 13:03,-86.809342,36.1322076,160
,12/2/15 13:22,-86.80934692,36.1321995,160
,12/2/15 13:51,-86.80935688,36.1321955,160
,12/2/15 13:57,-86.80938832,36.1322071,156
,12/2/15 13:57,-86.80941242,36.1322109,163
,12/2/15 13:58,-86.80939885,36.132222,166
,12/2/15 13:58,-86.80938013,36.1322747,166
,12/2/15 13:58,-86.80937267,36.1323003,168
,12/2/15 13:58,-86.80944047,36.13229,165
,12/2/15 13:58,-86.8094612,36.1322961,164
,12/2/15 13:58,-86.80946517,36.1323565,166
,12/2/15 13:58,-86.80946052,36.1323649,165
,12/2/15 13:58,-86.80915689,36.1323229,165
,12/2/15 13:58,-86.80887185,36.1322975,165
,12/2/15 13:58,-86.80845995,36.1322474,164
,12/2/15 13:59,-86.80819799,36.1322357,163
,12/2/15 13:59,-86.80773593,36.1322124,163
,12/2/15 13:59,-86.80737703,36.1321723,161
,12/2/15 13:59,-86.80729878,36.131997,159
,12/2/15 13:59,-86.80736094,36.1314934,153
,12/2/15 13:59,-86.80741385,36.131161,153
,12/2/15 13:59,-86.80741643,36.1311283,152
,12/2/15 13:59,-86.80726656,36.1310048,157
,12/2/15 13:59,-86.80690884,36.1309633,157
,12/2/15 14:00,-86.80669562,36.1309355,153
,12/2/15 14:00,-86.80660851,36.1309273,153
,12/2/15 14:00,-86.8065229,36.1309155,152
,12/2/15 14:00,-86.80645405,36.1309086,151
,12/2/15 14:00,-86.80639908,36.1309063,150
,12/2/15 14:00,-86.80635322,36.1309026,150
,12/2/15 14:00,-86.80595828,36.1308619,151
,12/2/15 14:00,-86.80549228,36.130803,151
,12/2/15 14:00,-86.80512827,36.1307561,152
,12/2/15 14:00,-86.80442466,36.1306764,155
,12/2/15 14:00,-86.80390103,36.1306135,159
,12/2/15 14:00,-86.80300033,36.1305226,161
,12/2/15 14:01,-86.8024856,36.1304642,161
,12/2/15 14:01,-86.80235853,36.1304453,161
,12/2/15 14:02,-86.80225606,36.1304298,161
,12/2/15 14:02,-86.80192017,36.1305004,161
,12/2/15 14:02,-86.80169175,36.130846,162
,12/2/15 14:02,-86.80150399,36.1312549,163
,12/2/15 14:02,-86.80143419,36.1317529,160
,12/2/15 14:03,-86.80133342,36.132835,155
,12/2/15 14:03,-86.8010789,36.1341112,150
,12/2/15 14:03,-86.8010629,36.134728,148
,12/2/15 14:03,-86.80098031,36.1353339,148
,12/2/15 14:03,-86.8009618,36.1353143,147
,12/2/15 14:03,-86.80097293,36.135314,148
,12/2/15 14:04,-86.80098123,36.1353432,149
,12/2/15 14:04,-86.80090013,36.1356786,151
,12/2/15 14:04,-86.80085901,36.13619,153
